t                 field             
    4.62462462E+01    5.91722994E-01
    4.63463463E+01    4.92145617E-01
    4.64464464E+01    3.92881995E-01
    4.65465465E+01    2.97897355E-01
    4.66466466E+01    2.10985995E-01
    4.67467467E+01    1.35619712E-01
    4.68468468E+01    7.48091217E-02
    4.69469469E+01    3.09833891E-02
    4.70470470E+01    5.89319616E-03
    4.71471471E+01    5.40806499E-04
    4.72472472E+01    1.51400290E-02
    4.73473473E+01    4.91076768E-02
    4.74474474E+01    1.01086864E-01
    4.75475475E+01    1.69001206E-01
    4.76476476E+01    2.50137770E-01
    4.77477477E+01    3.41255437E-01
    4.78478478E+01    4.38714384E-01
    4.79479479E+01    5.38621472E-01
    4.80480480E+01    6.36985770E-01
    4.81481481E+01    7.29877975E-01
    4.82482482E+01    8.13587376E-01
    4.83483483E+01    8.84770080E-01
    4.84484484E+01    9.40582593E-01
    4.85485485E+01    9.78795404E-01
    4.86486486E+01    9.97882047E-01
    4.87487487E+01    9.97080080E-01
    4.88488488E+01    9.76421537E-01
    4.89489489E+01    9.36731655E-01
    4.90490490E+01    8.79595901E-01
    4.91491491E+01    8.07296647E-01
    4.92492492E+01    7.22721988E-01
    4.93493493E+01    6.29250380E-01
    4.94494494E+01    5.30615681E-01
    4.95495495E+01    4.30757995E-01
    4.96496496E+01    3.33666280E-01
    4.97497497E+01    2.43219003E-01
    4.98498498E+01    1.63029211E-01
    4.99499499E+01    9.63001989E-02
    5.00500501E+01    4.56975531E-02
    5.01501502E+01    1.32426686E-02
    5.02502503E+01    2.32002192E-04
    5.03503504E+01    7.18528356E-03
    5.04504505E+01    3.38247539E-02
    5.05505506E+01    7.90862615E-02
    5.06506507E+01    1.41161771E-01
    5.07507508E+01    2.17571586E-01
    5.08508509E+01    3.05263409E-01
    5.09509510E+01    4.00734264E-01
    5.10510511E+01    5.00170430E-01
    5.11511512E+01    5.99599789E-01
    5.12512513E+01    6.95050491E-01
    5.13513514E+01    7.82709622E-01
    5.14514515E+01    8.59075513E-01
    5.15515516E+01    9.21097619E-01
    5.16516517E+01    9.66298378E-01
    5.17517518E+01    9.92872181E-01
    5.18518519E+01    9.99757499E-01
    5.19519520E+01    9.86679289E-01
    5.20520521E+01    9.54159979E-01
    5.21521522E+01    9.03498598E-01
    5.22522523E+01    8.36718888E-01
    5.23523524E+01    7.56488461E-01
    5.24524525E+01    6.66012235E-01
    5.25525526E+01    5.68904413E-01
    5.26526527E+01    4.69044105E-01
    5.27527528E+01    3.70420375E-01
    5.28528529E+01    2.76972889E-01
    5.29529530E+01    1.92434539E-01
    5.30530531E+01    1.20182332E-01
    5.31531532E+01    6.31024852E-02
    5.32532533E+01    2.34751348E-02
    5.33533534E+01    2.88325193E-03
    5.34534535E+01    2.14940889E-03
    5.35535536E+01    2.13029201E-02
    5.36536537E+01    5.95786711E-02
    5.37537538E+01    1.15447682E-01
    5.38538539E+01    1.86678186E-01
    5.39539540E+01    2.70424778E-01
    5.40540541E+01    3.63342081E-01
    5.41541542E+01    4.61718379E-01
    5.42542543E+01    5.61623892E-01
    5.43543544E+01    6.59067751E-01
    5.44544545E+01    7.50157420E-01
    5.45545546E+01    8.31254194E-01
    5.46546547E+01    8.99118544E-01
    5.47547548E+01    9.51039533E-01
    5.48548549E+01    9.84943103E-01
    5.49549550E+01    9.99474927E-01
    5.50550551E+01    9.94054510E-01
    5.51551552E+01    9.68898378E-01
    5.52552553E+01    9.25011430E-01
    5.53553554E+01    8.64146793E-01
    5.54554555E+01    7.88735790E-01
    5.55555556E+01    7.01790823E-01
    5.56556557E+01    6.06785034E-01
    5.57557558E+01    5.07513563E-01
    5.58558559E+01    4.07941952E-01
    5.59559560E+01    3.12047731E-01
    5.60560561E+01    2.23661533E-01
    5.61561562E+01    1.46314071E-01
    5.62562563E+01    8.30950986E-02
    5.63563564E+01    3.65299893E-02
    5.64564565E+01    8.47885275E-03
    5.65565566E+01    6.22317473E-05
    5.66566567E+01    1.16163403E-02
    5.67567568E+01    4.26796329E-02
    5.68568569E+01    9.20112419E-02
    5.69569570E+01    1.57640546E-01
    5.70570571E+01    2.36945888E-01
    5.71571572E+01    3.26759303E-01
    5.72572573E+01    4.23493065E-01
    5.73573574E+01    5.23283007E-01
    5.74574575E+01    6.22142875E-01
    5.75575576E+01    7.16123572E-01
    5.76576577E+01    8.01470903E-01
    5.77577578E+01    8.74775548E-01
    5.78578579E+01    9.33109247E-01
    5.79579580E+01    9.74141777E-01
    5.80580581E+01    9.96234036E-01
    5.81581582E+01    9.98503516E-01
    5.82582583E+01    9.80859560E-01
    5.83583584E+01    9.44006981E-01
    5.84584585E+01    8.89417908E-01
    5.85585586E+01    8.19272979E-01
    5.86586587E+01    7.36374234E-01
    5.87587588E+01    6.44033182E-01
    5.88588589E+01    5.45938518E-01
    5.89589590E+01    4.46008775E-01
    5.90590591E+01    3.48235789E-01
    5.91591592E+01    2.56525241E-01
    5.92592593E+01    1.74540640E-01
    5.93593594E+01    1.05556980E-01
    5.94594595E+01    5.23299101E-02
    5.95595596E+01    1.69856627E-02
    5.96596597E+01    9.36114174E-04
    5.97597598E+01    4.82238667E-03
    5.98598599E+01    2.84892375E-02
    5.99599600E+01    7.09912604E-02
    6.00600601E+01    1.30630651E-01
    6.01601602E+01    2.05025029E-01
    6.02602603E+01    2.91202605E-01
    6.03603604E+01    3.85720891E-01
    6.04604605E+01    4.84804219E-01
    6.05605606E+01    5.84494565E-01
    6.06606607E+01    6.80809654E-01
    6.07607608E+01    7.69902043E-01
    6.08608609E+01    8.48212809E-01
    6.09609610E+01    9.12613716E-01
    6.10610611E+01    9.60532178E-01
    6.11611612E+01    9.90054023E-01
    6.12612613E+01    9.99999958E-01
    6.13613614E+01    9.89972680E-01
    6.14614615E+01    9.60372742E-01
    6.15615616E+01    9.12382556E-01
    6.16616617E+01    8.47919159E-01
    6.17617618E+01    7.69557633E-01
    6.18618619E+01    6.80428242E-01
    6.19619620E+01    5.84091387E-01
    6.20620621E+01    4.84395381E-01
    6.21621622E+01    3.85322723E-01
    6.22622623E+01    2.90831014E-01
    6.23623624E+01    2.04694859E-01
    6.24624625E+01    1.30355090E-01
    6.25625626E+01    7.07813165E-02
    6.26626627E+01    2.83532972E-02
    6.27627628E+01    4.76588029E-03
    6.28628629E+01    9.61298952E-04
    6.29629630E+01    1.70915326E-02
    6.30630631E+01    5.25122359E-02
    6.31631632E+01    1.05808478E-01
    6.32632633E+01    1.74851265E-01
    6.33633634E+01    2.56882583E-01
    6.34634635E+01    3.48625575E-01
    6.35635636E+01    4.46415434E-01
    6.36636637E+01    5.46345805E-01
    6.37637638E+01    6.44424827E-01
    6.38638639E+01    7.36734593E-01
    6.39639640E+01    8.19587657E-01
    6.40640641E+01    8.89674334E-01
